nome_produto;preco_atual;preco_antigo;link_produto;cod_ean
DESODORANTE AEROSOL REXONA FEMININO NOW UNITED MOTIONSENSE 150ML;R$15,00;R$17,65;https://www.ultrafarma.com.br/desodorante-aerosol-rexona-feminino-now-united-motionsense-150ml;7891150063204
DESODORANTE AEROSSOL NIVEA MASCULINO ACTIVE SILVER 93G;R$16,15;R$17,94;https://www.ultrafarma.com.br/desodorante-aerosol-nivea-masculino-silver-protect-com-93g;4005808305964
DESODORANTE AEROSOL BIS HERBÍSSIMO MASCULINO VOLCANO 150ML;R$11,56;R$12,84;https://www.ultrafarma.com.br/desodorante-aerosol-bis-herbissimo-masculino-volcano-com-150ml;7896049527805
DESODORANTE AEROSSOL DOVE FEMININO GO FRESH 150ML;R$16,10;R$18,94;https://www.ultrafarma.com.br/desodorante-aerossol-dove-feminino-nutritive-secrets-ritual-energizante-matcha-e-flor-de-sakura-150ml;7791293038155
DESODORANTE AEROSOL REXONA FEMININO INVISIBLE 150ML;R$15,20;R$17,88;https://www.ultrafarma.com.br/desodorante-aerosol-rexona-feminino-invisible-com-150ml;7791293032481
DESODORANTE AEROSSOL MONANGE INVISÍVEL 150ML;R$10,46;R$11,62;https://www.ultrafarma.com.br/desodorante-aerosol-monange-invisivel-com-150ml;7898919411900
DESODORANTE AEROSOL REXONA FEMININO BANG BY ANITTA 150ML;R$15,00;R$17,65;https://www.ultrafarma.com.br/desodorante-aerosol-rexona-feminino-bang-by-anitta-150ml;7891150071254
DESODORANTE AEROSSOL ABOVE MAXX DOLCE VITA FEMININO 250ML;R$15,48;R$19,35;https://www.ultrafarma.com.br/desodorante-aerossol-above-maxx-dolce-vita-feminino-250ml;7899674031389
DESODORANTE AEROSSOL REXONA FEMININO ERVA DOCE 150ML;R$15,20;R$17,88;https://www.ultrafarma.com.br/desodorante-aerosol-rexona-feminino-erva-doce-com-150ml;7891150054653
DESODORANTE AEROSSOL DOVE MEN CARE ANTIBAC 150ML;R$17,30;R$20,35;https://www.ultrafarma.com.br/desodorante-aerosol-dove-men-care-antibac-com-150ml;7791293018874
DESODORANTE AEROSSOL SENADOR CLASSIC 150ML;R$22,33;R$24,81;https://www.ultrafarma.com.br/desodorante-aerosol-senador-classic-com-168ml;7891134004131
DESODORANTE AEROSSOL DOVE FEMININO BEAUTY FINISH 150ML;R$19,41;R$22,83;https://www.ultrafarma.com.br/desodorante-aerosol-dove-feminino-beauty-finish-com-150ml;7791293033235
DESODORANTE AEROSOL BIS HERBÍSSIMO MASCULINO BLUE ICE 150ML;R$11,56;R$12,84;https://www.ultrafarma.com.br/desodorante-aerosol-bis-herbissimo-masculino-blue-ice-com-150ml;7896049527799
DESODORANTE CORPORAL GIOVANNA BABY BODY SPLASH BLANC VANILLA 260ML;R$29,11;R$36,39;https://www.ultrafarma.com.br/desodorante-corporal-giovanna-baby-body-splash-blanc-vanilla-260ml;7896044997207
DESODORANTE AEROSOL OLD SPICE VIP 200ML;R$19,37;R$21,52;https://www.ultrafarma.com.br/desodorante-aerosol-old-spice-vip-200ml;7500435143233
DESODORANTE AEROSOL REXONA MASCULINO EDIÇÃO ESPECIAL TORCEDOR FANÁTICO 150ML;R$15,00;R$17,65;https://www.ultrafarma.com.br/desodorante-aerosol-rexona-masculino-edicao-especial-torcedor-fanatico-150ml;7891150055605
DESODORANTE AEROSOL BIS HERBÍSSIMO MASCULINO DARK SILVER 150ML;R$11,56;R$12,84;https://www.ultrafarma.com.br/desodorante-aerosol-bis-herbissimo-masculino-dark-silver-com-150ml;7896049527768
DESODORANTE AEROSOL OLD SPICE LENHA 150ML;R$17,30;R$19,22;https://www.ultrafarma.com.br/desodorante-aerosol-old-spice-lenha-150ml;7500435135047
DESODORANTE AEROSSOL ABOVE MAXX ELEMENTS OCEAN MASCULINO 250ML;R$15,48;R$19,35;https://www.ultrafarma.com.br/desodorante-aerossol-above-maxx-elements-ocean-masculino-250ml;7899674031518
DESODORANTE AEROSOL GILLETTE ULTIMATE FRESH 93G;R$19,95;R$22,17;https://www.ultrafarma.com.br/desodorante-aerosol-gillette-ultimate-fresh-93g;7500435135092
DESODORANTE AEROSSOL ABOVE NEYMAR JR CLINICAL TEEN GIRL 150ML;R$14,18;R$15,76;https://www.ultrafarma.com.br/desodorante-aerossol-above-neymar-jr-clinical-teen-girl-150ml;7899674035318
DESODORANTE AEROSOL NIVEA FEMININO DEOMILK TOQUE SECO 150ML;R$16,71;R$18,57;https://www.ultrafarma.com.br/desodorante-aerosol-nivea-feminino-deomilk-toque-seco-150ml;4005900715838
